"plant_id","type"
"1091","AMDU","Forb/herb"
"1092","AMFI","Forb/herb"
"1093","AMFL3","Forb/herb"
"1094","AMGR13","Forb/herb"
"1095","AMGRS","Forb/herb"
"1096","AMGR2","Forb/herb"
"1097","AMHY","Forb/herb"
"1098","AMHY2","Forb/herb"
"1099","AMLI2","Forb/herb"
"1100","AMMA6","Forb/herb"
"1101","AMMU3","Forb/herb"
"1102","AMOB","Forb/herb"
"1103","AMPA","Forb/herb"
"1104","AMPO","Forb/herb"
"1105","AMPO2","Forb/herb"
"1106","AMPOB2","Forb/herb"
"1107","AMPOP","Forb/herb"
"1108","AMPR","Forb/herb"
"1109","AMPU2","Forb/herb"
"1110","AMRE","Forb/herb"
"1111","AMSC","Forb/herb"
"1112","AMSP","Forb/herb"
"1113","AMTA","Forb/herb"
"1114","AMTE9","Forb/herb"
"1115","AMTH2","Forb/herb"
"1116","AMTO6","Forb/herb"
"1117","AMTR2","Forb/herb"
"1118","AMTU","Forb/herb"
"1119","AMTU2","Forb/herb"
"1120","AMVE2","Forb/herb"
"1121","AMVI","Forb/herb"
"1122","AMWA","Forb/herb"
"1123","AMWR","Forb/herb"
"1125","AMBE3","Forb/herb"
"1127","AMMO","Forb/herb"
"1129","AMSE","Forb/herb"
"1131","AMPU3","Forb/herb"
"1137","AMAC2","Forb/herb"
"1139","AMAR2","Forb/herb"
"1140","AMARA2","Forb/herb"
"1141","AMARE","Forb/herb"
"1142","AMARP","Forb/herb"
"1143","AMBI2","Forb/herb"
"1144","AMCA7","Forb/herb"
"1145","AMCH4","Forb/herb"
"1146","AMCH2","Forb/herb"
"1148","AMCO3","Forb/herb"
"1153","AMGR5","Forb/herb"
"1154","AMHE3","Forb/herb"
"1155","AMHI3","Forb/herb"
"1157","AMIN","Forb/herb"
"1159","AMPS","Forb/herb"
"1160","AMPU4","Forb/herb"
"1161","AMTE5","Forb/herb"
"1162","AMTO3","Forb/herb"
"1163","AMTR","Forb/herb"
"1164","AMTRT","Forb/herb"
"1165","AMTRT2","Forb/herb"
"1198","AMRO","Forb/herb"
"1200","AMMU","Forb/herb"
"1202","AMAU2","Forb/herb"
"1203","AMCO","Forb/herb"
"1204","AMLA3","Forb/herb"
"1205","AMRO3","Forb/herb"
"1207","AMMA","Forb/herb"
"1208","AMVI2","Forb/herb"
"1210","AMCH3","Forb/herb"
"1216","AMBU","Forb/herb"
"1217","AMGI","Forb/herb"
"1218","AMPO4","Forb/herb"
"1220","AMGO","Forb/herb"
"1221","AMPA3","Forb/herb"
"1253","AMAM3","Forb/herb"
"1254","AMDR","Forb/herb"
"1256","AMPU7","Forb/herb"
"1261","AMBR2","Forb/herb"
"1262","AMBRB","Forb/herb"
"1263","AMBRC","Forb/herb"
"1276","AMCA8","Forb/herb"
